iter	Passed	Remaining
466	697	795
467	698	793
468	699	791
469	700	789
470	701	787
471	701	785
472	702	782
473	703	780
474	704	778
475	704	775
476	705	773
477	706	771
478	706	768
479	707	766
480	708	764
481	709	761
482	709	759
483	710	757
484	711	755
485	712	753
486	713	751
487	714	749
488	715	747
489	715	745
490	716	742
491	717	741
492	718	738
493	719	736
494	719	734
495	720	732
496	721	729
497	721	727
498	722	725
499	723	723
500	723	721
501	724	719
502	725	716
503	726	714
504	727	713
505	728	711
506	729	709
507	730	707
508	731	705
509	732	703
510	733	701
511	734	699
512	735	697
513	735	695
514	736	693
515	737	691
516	738	689
517	739	687
518	739	685
519	740	683
520	741	681
521	742	680
522	744	678
523	745	676
524	745	674
525	746	673
526	747	671
527	748	669
528	749	667
529	750	665
530	750	663
531	751	661
532	752	658
533	752	656
534	753	655
535	754	653
536	755	651
537	755	648
538	756	646
539	757	645
540	758	643
541	759	641
542	760	640
543	761	638
544	762	636
545	763	634
546	764	632
547	764	630
548	765	629
549	766	627
550	767	625
551	768	623
552	768	621
553	769	619
554	770	617
555	770	615
556	771	613
557	772	612
558	773	610
559	774	608
560	775	606
561	776	605
562	777	603
563	777	601
564	778	599
565	779	597
566	779	595
567	780	593
568	781	591
569	781	589
570	782	588
571	783	586
572	784	584
573	784	582
574	785	580
575	786	578
576	787	577
577	788	575
578	789	573
579	790	572
580	790	570
581	791	568
582	792	566
583	792	564
584	793	562
585	794	561
586	794	559
587	795	557
588	796	555
589	796	553
590	797	551
591	798	550
592	799	548
593	799	546
594	800	544
595	801	543
596	802	541
597	803	540
598	804	538
599	805	536
600	805	534
601	806	533
602	807	531
603	807	529
604	808	527
605	809	526
606	809	524
607	810	522
608	811	520
609	811	518
610	812	517
611	813	515
612	813	513
613	814	512
614	815	510
615	816	508
616	816	507
617	817	505
618	818	503
619	819	502
620	820	500
621	821	499
622	821	497
623	822	495
624	823	493
625	824	492
626	824	490
627	825	488
628	826	487
629	826	485
630	827	483
631	828	482
632	828	480
633	829	478
634	830	477
635	831	475
636	832	474
637	833	472
638	834	471
639	835	469
640	836	468
641	837	466
642	837	465
643	838	463
644	839	462
645	840	460
646	841	458
647	841	457
648	842	455
649	843	454
650	844	452
651	845	451
652	845	449
653	846	447
654	847	446
655	848	444
656	848	443
657	849	441
658	850	440
659	851	438
660	852	437
661	852	435
662	853	433
663	854	432
664	855	431
665	856	429
666	857	428
667	858	426
668	859	425
669	860	423
670	861	422
671	862	420
672	863	419
673	864	418
674	865	416
675	866	415
676	867	413
677	868	412
678	869	410
679	869	409
680	870	407
681	871	406
682	871	404
683	872	403
684	873	401
685	874	400
686	874	398
687	875	397
688	876	395
689	876	393
690	877	392
691	879	391
692	880	390
693	881	388
694	882	387
695	882	385
696	883	384
697	884	382
698	884	381
699	885	379
700	886	378
701	886	376
702	887	374
703	888	373
704	888	371
705	889	370
706	890	369
707	891	367
708	891	366
709	892	364
710	893	363
711	894	361
712	894	360
713	895	358
714	896	357
715	897	355
716	898	354
717	899	353
718	900	351
719	901	350
720	902	349
721	903	347
722	904	346
723	904	344
724	905	343
725	906	342
726	906	340
727	907	339
728	909	337
729	909	336
730	910	335
731	911	333
732	912	332
733	912	330
734	913	329
735	914	327
736	915	326
737	916	325
738	917	324
739	918	322
740	919	321
741	920	320
742	921	318
743	921	317
744	922	315
745	923	314
746	924	313
747	925	311
748	926	310
749	927	309
750	927	307
751	928	306
752	929	304
753	930	303
754	931	302
755	932	300
756	933	299
757	934	298
758	935	296
759	935	295
760	936	294
761	937	292
762	938	291
763	938	290
764	939	288
765	940	287
766	941	285
767	942	284
768	942	283
769	943	281
770	944	280
771	945	279
772	945	277
773	947	276
774	947	275
775	948	273
776	949	272
777	949	271
778	950	269
779	951	268
780	951	266
781	952	265
782	953	264
783	954	262
784	955	261
785	955	260
786	956	258
787	957	257
788	958	256
789	958	254
790	959	253
791	960	252
792	961	250
793	962	249
794	962	248
795	963	246
796	964	245
797	964	244
798	965	242
799	966	241
800	966	240
801	967	238
802	968	237
803	969	236
804	970	234
805	970	233
806	971	232
807	972	231
808	973	229
809	974	228
810	974	227
811	975	225
812	976	224
813	977	223
814	978	222
815	978	220
816	979	219
817	980	218
818	980	216
819	981	215
820	982	214
821	982	212
822	983	211
823	984	210
824	985	208
825	985	207
826	986	206
827	987	205
828	988	203
829	989	202
830	990	201
831	991	200
832	991	198
833	992	197
834	993	196
835	994	195
836	995	193
837	995	192
838	996	191
839	997	189
840	998	188
841	998	187
842	999	186
843	1000	184
844	1001	183
845	1002	182
846	1003	181
847	1005	180
848	1006	178
849	1006	177
850	1007	176
851	1008	175
852	1009	173
853	1010	172
854	1010	171
855	1011	170
856	1012	168
857	1013	167
858	1014	166
859	1015	165
860	1017	164
861	1018	163
862	1019	161
863	1020	160
864	1021	159
865	1022	158
866	1023	156
867	1024	155
868	1025	154
869	1025	153
870	1026	152
871	1027	150
872	1028	149
873	1029	148
874	1030	147
875	1031	145
876	1032	144
877	1033	143
878	1033	142
879	1034	141
880	1035	139
881	1036	138
882	1037	137
883	1038	136
884	1039	135
885	1039	133
886	1040	132
887	1041	131
888	1041	130
889	1042	128
890	1043	127
891	1044	126
892	1045	125
893	1046	124
894	1047	122
895	1048	121
896	1048	120
897	1049	119
898	1050	118
899	1051	116
900	1052	115
901	1053	114
902	1053	113
903	1054	112
904	1055	110
905	1056	109
906	1057	108
907	1057	107
908	1058	105
909	1059	104
910	1060	103
911	1061	102
912	1062	101
913	1062	100
914	1063	98
915	1064	97
916	1065	96
917	1065	95
918	1066	94
919	1067	92
920	1068	91
921	1068	90
922	1069	89
923	1070	88
924	1070	86
925	1071	85
926	1072	84
927	1073	83
928	1073	82
929	1075	80
930	1076	79
931	1077	78
932	1078	77
933	1078	76
934	1079	75
935	1080	73
936	1081	72
937	1081	71
938	1082	70
939	1083	69
940	1084	67
941	1084	66
942	1085	65
943	1086	64
944	1087	63
945	1088	62
946	1088	60
947	1089	59
948	1090	58
949	1091	57
950	1092	56
951	1092	55
952	1093	53
953	1094	52
954	1094	51
955	1095	50
956	1096	49
957	1097	48
958	1097	46
959	1098	45
960	1099	44
961	1099	43
962	1100	42
963	1101	41
964	1102	39
965	1103	38
966	1103	37
967	1104	36
968	1105	35
969	1106	34
970	1106	33
971	1107	31
972	1108	30
973	1108	29
974	1109	28
975	1110	27
976	1110	26
977	1111	25
978	1112	23
979	1113	22
980	1113	21
981	1114	20
982	1115	19
983	1116	18
984	1117	17
985	1117	15
986	1118	14
987	1119	13
988	1119	12
989	1120	11
990	1121	10
991	1122	9
992	1123	7
993	1123	6
994	1124	5
995	1125	4
996	1126	3
997	1127	2
998	1127	1
999	1128	0
